+-------+--------+-----------------------------------------------------------------------------------------------------+-------+--------+----------+-------+--------+
| COUNT | METHOD |                                                 URI                                                 |  MIN  |  MAX   |   SUM    |  AVG  |  P99   |
+-------+--------+-----------------------------------------------------------------------------------------------------+-------+--------+----------+-------+--------+
| 2560  | GET    | /api/livestream/[0-9]+                                                                              | 0.004 | 60.013 | 4437.182 | 1.733 | 33.976 |
| 7736  | GET    | /api/user/                                                                                          | 0.004 | 20.004 | 1495.688 | 0.193 | 2.028  |
| 2224  | POST   | /api/livestream/[0-9]+                                                                              | 0.004 | 10.568 | 754.881  | 0.339 | 3.152  |
| 173   | GET    | /api/livestream/search?limit=50                                                                     | 0.172 | 6.008  | 469.877  | 2.716 | 4.969  |
| 843   | POST   | /api/register                                                                                       | 0.004 | 9.156  | 233.365  | 0.277 | 1.880  |
| 432   | POST   | /api/livestream/reservation                                                                         | 0.004 | 10.116 | 214.194  | 0.496 | 2.036  |
| 826   | POST   | /api/icon                                                                                           | 0.004 | 19.968 | 178.969  | 0.217 | 2.148  |
| 871   | POST   | /api/login                                                                                          | 0.004 | 4.252  | 100.874  | 0.116 | 1.248  |
| 335   | GET    | /api/livestream                                                                                     | 0.004 | 5.708  | 73.825   | 0.220 | 2.032  |
| 339   | GET    | /api/tag                                                                                            | 0.004 | 5.040  | 54.824   | 0.162 | 1.560  |
| 9     | POST   | /api/initialize                                                                                     | 1.900 | 13.376 | 30.517   | 3.391 | 13.376 |
| 2     | GET    | /api/livestream/search?tag=%E3%83%A8%E3%82%AC                                                       | 6.616 | 6.768  | 13.384   | 6.692 | 6.768  |
| 2     | GET    | /api/livestream/search?tag=%E5%8D%A0%E3%81%84                                                       | 5.236 | 5.940  | 11.176   | 5.588 | 5.940  |
| 2     | GET    | /api/livestream/search?tag=%E5%AE%87%E5%AE%99                                                       | 0.456 | 6.840  | 7.296    | 3.648 | 6.840  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%81%E3%83%A3%E3%83%83%E3%83%88%E4%BA%A4%E6%B5%81                   | 7.208 | 7.208  | 7.208    | 7.208 | 7.208  |
| 2     | GET    | /api/livestream/search?tag=UFO                                                                      | 0.468 | 6.648  | 7.116    | 3.558 | 6.648  |
| 7     | GET    | /api/livestream/search?tag=%E6%A4%85%E5%AD%90                                                       | 0.444 | 4.040  | 6.900    | 0.986 | 4.040  |
| 3     | GET    | /api/livestream/search?tag=%E6%89%8B%E7%9B%B8                                                       | 0.400 | 6.065  | 6.877    | 2.292 | 6.065  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%97%E3%83%AD%E3%82%B2%E3%83%BC%E3%83%9E%E3%83%BC                   | 6.256 | 6.256  | 6.256    | 6.256 | 6.256  |
| 3     | GET    | /api/livestream/search?tag=%E8%B5%B7%E6%A5%AD                                                       | 0.368 | 5.252  | 6.104    | 2.035 | 5.252  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%A9%E3%82%A4%E3%83%95%E3%83%8F%E3%83%83%E3%82%AF                   | 6.032 | 6.032  | 6.032    | 6.032 | 6.032  |
| 59    | DELETE | /api/livestream/[0-9]+                                                                              | 0.004 | 0.632  | 5.888    | 0.100 | 0.632  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%86%E3%82%AF%E3%83%8E%E3%83%AD%E3%82%B8%E3%83%BC                   | 5.836 | 5.836  | 5.836    | 5.836 | 5.836  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%88%E3%83%BC%E3%82%AF%E9%85%8D%E4%BF%A1                            | 5.756 | 5.756  | 5.756    | 5.756 | 5.756  |
| 1     | GET    | /api/livestream/search?tag=%E5%81%A5%E5%BA%B7                                                       | 5.704 | 5.704  | 5.704    | 5.704 | 5.704  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2          | 5.256 | 5.256  | 5.256    | 5.256 | 5.256  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%AD%E3%83%A3%E3%83%AA%E3%82%A2                                     | 4.924 | 4.924  | 4.924    | 4.924 | 4.924  |
| 2     | GET    | /api/livestream/search?tag=%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC                                     | 0.380 | 4.076  | 4.456    | 2.228 | 4.076  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%9B%E3%83%A9%E3%83%BC%E3%82%B2%E3%83%BC%E3%83%A0                   | 3.928 | 3.928  | 3.928    | 3.928 | 3.928  |
| 14    | GET    | /api/livestream/search?limit=10                                                                     | 0.036 | 0.640  | 3.300    | 0.236 | 0.640  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%A4%E3%83%99%E3%83%B3%E3%83%88%E7%94%9F%E6%94%BE%E9%80%81          | 3.080 | 3.080  | 3.080    | 3.080 | 3.080  |
| 6     | GET    | /api/livestream/search?tag=%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1                            | 0.464 | 0.652  | 3.052    | 0.509 | 0.652  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%AB%E3%83%90%E3%83%BC%E3%82%BD%E3%83%B3%E3%82%B0                   | 2.820 | 2.820  | 2.820    | 2.820 | 2.820  |
| 2     | GET    | /api/livestream/search?tag=%E3%82%A2%E3%83%8B%E3%83%A1%E3%83%88%E3%83%BC%E3%82%AF                   | 0.432 | 0.572  | 1.004    | 0.502 | 0.572  |
| 2     | GET    | /api/livestream/search?tag=%E5%BF%83%E7%90%86%E5%AD%A6                                              | 0.420 | 0.436  | 0.856    | 0.428 | 0.436  |
| 2     | GET    | /api/livestream/search?tag=%E9%9F%B3%E6%A5%BD%E3%83%A9%E3%82%A4%E3%83%96                            | 0.408 | 0.416  | 0.824    | 0.412 | 0.416  |
| 2     | GET    | /api/livestream/search?tag=%E6%97%A5%E5%B8%B8%E8%A9%B1                                              | 0.336 | 0.356  | 0.692    | 0.346 | 0.356  |
